% Source Destination PIR
0 15 0.000588235
0 240 0.000588235
0 255 0.000588235
0 1 0.001568627
0 2 0.001568627
0 3 0.001568627
0 4 0.001568627
0 5 0.001568627
0 6 0.001568627
0 7 0.001568627
0 8 0.001568627
0 9 0.001568627
0 10 0.001568627
0 11 0.001568627
0 12 0.001568627
0 13 0.001568627
0 14 0.001568627
0 16 0.001568627
0 17 0.001568627
0 18 0.001568627
0 19 0.001568627
0 20 0.001568627
0 21 0.001568627
0 22 0.001568627
0 23 0.001568627
0 24 0.001568627
0 25 0.001568627
0 26 0.001568627
0 27 0.001568627
0 28 0.001568627
0 29 0.001568627
0 30 0.001568627
0 31 0.001568627
0 32 0.001568627
0 33 0.001568627
0 34 0.001568627
0 35 0.001568627
0 36 0.001568627
0 37 0.001568627
0 38 0.001568627
0 39 0.001568627
0 40 0.001568627
0 41 0.001568627
0 42 0.001568627
0 43 0.001568627
0 44 0.001568627
0 45 0.001568627
0 46 0.001568627
0 47 0.001568627
0 48 0.001568627
0 49 0.001568627
0 50 0.001568627
0 51 0.001568627
0 52 0.001568627
0 53 0.001568627
0 54 0.001568627
0 55 0.001568627
0 56 0.001568627
0 57 0.001568627
0 58 0.001568627
0 59 0.001568627
0 60 0.001568627
0 61 0.001568627
0 62 0.001568627
0 63 0.001568627
0 64 0.001568627
0 65 0.001568627
0 66 0.001568627
0 67 0.001568627
0 68 0.001568627
0 69 0.001568627
0 70 0.001568627
0 71 0.001568627
0 72 0.001568627
0 73 0.001568627
0 74 0.001568627
0 75 0.001568627
0 76 0.001568627
0 77 0.001568627
0 78 0.001568627
0 79 0.001568627
0 80 0.001568627
0 81 0.001568627
0 82 0.001568627
0 83 0.001568627
0 84 0.001568627
0 85 0.001568627
0 86 0.001568627
0 87 0.001568627
0 88 0.001568627
0 89 0.001568627
0 90 0.001568627
0 91 0.001568627
0 92 0.001568627
0 93 0.001568627
0 94 0.001568627
0 95 0.001568627
0 96 0.001568627
0 97 0.001568627
0 98 0.001568627
0 99 0.001568627
0 100 0.001568627
0 101 0.001568627
0 102 0.001568627
0 103 0.001568627
0 104 0.001568627
0 105 0.001568627
0 106 0.001568627
0 107 0.001568627
0 108 0.001568627
0 109 0.001568627
0 110 0.001568627
0 111 0.001568627
0 112 0.001568627
0 113 0.001568627
0 114 0.001568627
0 115 0.001568627
0 116 0.001568627
0 117 0.001568627
0 118 0.001568627
0 119 0.001568627
0 120 0.001568627
0 121 0.001568627
0 122 0.001568627
0 123 0.001568627
0 124 0.001568627
0 125 0.001568627
0 126 0.001568627
0 127 0.001568627
0 128 0.001568627
0 129 0.001568627
0 130 0.001568627
0 131 0.001568627
0 132 0.001568627
0 133 0.001568627
0 134 0.001568627
0 135 0.001568627
0 136 0.001568627
0 137 0.001568627
0 138 0.001568627
0 139 0.001568627
0 140 0.001568627
0 141 0.001568627
0 142 0.001568627
0 143 0.001568627
0 144 0.001568627
0 145 0.001568627
0 146 0.001568627
0 147 0.001568627
0 148 0.001568627
0 149 0.001568627
0 150 0.001568627
0 151 0.001568627
0 152 0.001568627
0 153 0.001568627
0 154 0.001568627
0 155 0.001568627
0 156 0.001568627
0 157 0.001568627
0 158 0.001568627
0 159 0.001568627
0 160 0.001568627
0 161 0.001568627
0 162 0.001568627
0 163 0.001568627
0 164 0.001568627
0 165 0.001568627
0 166 0.001568627
0 167 0.001568627
0 168 0.001568627
0 169 0.001568627
0 170 0.001568627
0 171 0.001568627
0 172 0.001568627
0 173 0.001568627
0 174 0.001568627
0 175 0.001568627
0 176 0.001568627
0 177 0.001568627
0 178 0.001568627
0 179 0.001568627
0 180 0.001568627
0 181 0.001568627
0 182 0.001568627
0 183 0.001568627
0 184 0.001568627
0 185 0.001568627
0 186 0.001568627
0 187 0.001568627
0 188 0.001568627
0 189 0.001568627
0 190 0.001568627
0 191 0.001568627
0 192 0.001568627
0 193 0.001568627
0 194 0.001568627
0 195 0.001568627
0 196 0.001568627
0 197 0.001568627
0 198 0.001568627
0 199 0.001568627
0 200 0.001568627
0 201 0.001568627
0 202 0.001568627
0 203 0.001568627
0 204 0.001568627
0 205 0.001568627
0 206 0.001568627
0 207 0.001568627
0 208 0.001568627
0 209 0.001568627
0 210 0.001568627
0 211 0.001568627
0 212 0.001568627
0 213 0.001568627
0 214 0.001568627
0 215 0.001568627
0 216 0.001568627
0 217 0.001568627
0 218 0.001568627
0 219 0.001568627
0 220 0.001568627
0 221 0.001568627
0 222 0.001568627
0 223 0.001568627
0 224 0.001568627
0 225 0.001568627
0 226 0.001568627
0 227 0.001568627
0 228 0.001568627
0 229 0.001568627
0 230 0.001568627
0 231 0.001568627
0 232 0.001568627
0 233 0.001568627
0 234 0.001568627
0 235 0.001568627
0 236 0.001568627
0 237 0.001568627
0 238 0.001568627
0 239 0.001568627
0 241 0.001568627
0 242 0.001568627
0 243 0.001568627
0 244 0.001568627
0 245 0.001568627
0 246 0.001568627
0 247 0.001568627
0 248 0.001568627
0 249 0.001568627
0 250 0.001568627
0 251 0.001568627
0 252 0.001568627
0 253 0.001568627
0 254 0.001568627
1 0 0.000588235
1 15 0.000588235
1 240 0.000588235
1 255 0.000588235
1 2 0.001568627
1 3 0.001568627
1 4 0.001568627
1 5 0.001568627
1 6 0.001568627
1 7 0.001568627
1 8 0.001568627
1 9 0.001568627
1 10 0.001568627
1 11 0.001568627
1 12 0.001568627
1 13 0.001568627
1 14 0.001568627
1 16 0.001568627
1 17 0.001568627
1 18 0.001568627
1 19 0.001568627
1 20 0.001568627
1 21 0.001568627
1 22 0.001568627
1 23 0.001568627
1 24 0.001568627
1 25 0.001568627
1 26 0.001568627
1 27 0.001568627
1 28 0.001568627
1 29 0.001568627
1 30 0.001568627
1 31 0.001568627
1 32 0.001568627
1 33 0.001568627
1 34 0.001568627
1 35 0.001568627
1 36 0.001568627
1 37 0.001568627
1 38 0.001568627
